categoria,centroide_lat,centroide_lon,fuente,id,nombre,nombre_completo,provincia_id,provincia_interseccion,provincia_nombre,,,
Municipio,-228.431.449.411.788,-660.322.682.108.588,Direc. Grl. de Inmuebles,380014,Abra Pampa,Municipio Abra Pampa,38,0.071112298,Jujuy,,,
Comision Municipal,-231.358.937.646.647,-65.792.209.430.154,Direc. Grl. de Inmuebles,386014,Abralaite,Comision Municipal Abralaite,38,0.012784721,Jujuy,,,
Municipio,-231.800.320.816.974,-653.082.961.701.977,Direc. Grl. de Inmuebles,380105,Humahuaca,Municipio Humahuaca,38,0.030198068,Jujuy,,,
Comision Municipal,-233.201.640.640.822,-659.917.423.948.271,Direc. Grl. de Inmuebles,386007,Abdon Castro Tolay,Comision Municipal Abdon Castro Tolay,38,0.030103197,Jujuy,,,
Comision Municipal,-231.946.260.949.512,-66.614.526.284.725,Direc. Grl. de Inmuebles,386161,Coranzuli,Comision Municipal Coranzuli,38,0.065889664,Jujuy,,,
Municipio,-232.109.438.569.515,-656.379.141.890.805,Direc. Grl. de Inmuebles,380091,El Aguilar,Municipio El Aguilar,38,0.011614758,Jujuy,,,
Comision Municipal,-237.054.223.180.767,-665.588.749.659.573,Direc. Grl. de Inmuebles,386168,Susques,Comision Municipal Susques,38,0.085733786,Jujuy,,,
Comision Municipal,-233.446.317.099.678,-65.083.177.753.117,Direc. Grl. de Inmuebles,386210,Caspalá,Comision Municipal Caspalá,38,0.006197808,Jujuy,,,
Comision Municipal,-233.977.683.815.659,-653.946.655.371.627,Direc. Grl. de Inmuebles,386175,Huacalera,Comision Municipal Huacalera,38,0.010809527,Jujuy,,,
Comision Municipal,-236.601.037.261.503,-669.591.888.909.713,Direc. Grl. de Inmuebles,386154,Catua,Comision Municipal Catua,38,0.040145659,Jujuy,,,
Comision Municipal,-235.633.995.980.458,-650.452.232.272.797,Direc. Grl. de Inmuebles,386217,Pampichuela,Comision Municipal Pampichuela,38,0.007022131,Jujuy,,,
Comision Municipal,-234.986.285.822.548,-649.305.752.762.516,Direc. Grl. de Inmuebles,386238,Valle Grande,Comision Municipal Valle Grande,38,0.003307139,Jujuy,,,
Municipio,-23.565.307.635.886,-646.176.128.701.431,Direc. Grl. de Inmuebles,380147,Yuto,Municipio Yuto,38,0.008070615,Jujuy,,,
Comision Municipal,-236.423.715.717.053,-654.364.492.243.533,Direc. Grl. de Inmuebles,386182,Maimará,Comision Municipal Maimará,38,0.003221971,Jujuy,,,
Municipio,-237.336.839.551.609,-647.601.461.359.254,Direc. Grl. de Inmuebles,380126,Calilegua,Municipio Calilegua,38,0.006269775,Jujuy,,,
Comision Municipal,-237.307.638.894.877,-643.534.086.128.734,Direc. Grl. de Inmuebles,386126,Vinalito,Comision Municipal Vinalito,38,0.015117218,Jujuy,,,
